k,n,degrees_list,hodge_numbers
2,5,{8, 7},{25801, 560839, 1402602, 560839, 25801}
2,5,{8, 8},{41055, 854735, 2112670, 854735, 41055}
2,5,{9, 1},{686, 37304, 112132, 37304, 686}
2,5,{9, 2},{2030, 87401, 251080, 87401, 2030}
2,5,{9, 3},{4460, 155981, 430630, 155981, 4460}
2,5,{9, 4},{8585, 252155, 672490, 252155, 8585}
2,5,{9, 5},{15239, 389624, 1009258, 389624, 15239}
2,5,{9, 6},{25526, 587849, 1487392, 587849, 25526}
2,5,{9, 7},{40865, 873221, 2170180, 873221, 40865}
2,5,{9, 8},{63035, 1280231, 3140710, 1280231, 63035}
2,5,{9, 9},{94220, 1852640, 4504840, 1852640, 94220}
2,5,{10, 1},{1344, 66849, 197028, 66849, 1344}
2,5,{10, 2},{3774, 153664, 435278, 153664, 3774}
2,5,{10, 3},{7899, 268109, 733118, 268109, 7899}
2,5,{10, 4},{14554, 421949, 1118268, 421949, 14554}
2,5,{10, 5},{24849, 632349, 1631098, 632349, 24849}
2,5,{10, 6},{40219, 923174, 2327928, 923174, 40219}
2,5,{10, 7},{62474, 1326289, 3284328, 1326289, 62474}
2,5,{10, 8},{93849, 1882859, 4598418, 1882859, 93849}
2,5,{10, 9},{137054, 2644649, 6394168, 2644649, 137054}
2,5,{10, 10},{195324, 3675324, 8824698, 3675324, 195324}
2,5,{1, 1, 1},{0, 0, 0}
2,5,{2, 1, 1},{0, 10, 0}
2,5,{2, 2, 1},{1, 61, 1}
2,5,{2, 2, 2},{10, 260, 10}
2,5,{3, 1, 1},{1, 76, 1}
2,5,{3, 2, 1},{9, 269, 9}
2,5,{3, 2, 2},{48, 878, 48}
2,5,{3, 3, 1},{40, 790, 40}
2,5,{3, 3, 2},{163, 2323, 163}
2,5,{3, 3, 3},{460, 5455, 460}
2,5,{4, 1, 1},{8, 298, 8}
2,5,{4, 2, 1},{39, 859, 39}
2,5,{4, 2, 2},{155, 2415, 155}
2,5,{4, 3, 1},{124, 2014, 124}
2,5,{4, 3, 2},{429, 5429, 429}
2,5,{4, 3, 3},{1066, 11536, 1066}
2,5,{4, 4, 1},{313, 4313, 313}
2,5,{4, 4, 2},{981, 11101, 981}
2,5,{4, 4, 3},{2245, 22285, 2245}
2,5,{4, 4, 4},{4425, 40665, 4425}
2,5,{5, 1, 1},{31, 831, 31}
2,5,{5, 2, 1},{116, 2166, 116}
2,5,{5, 2, 2},{391, 5591, 391}
2,5,{5, 3, 1},{306, 4481, 306}
2,5,{5, 3, 2},{951, 11351, 951}
2,5,{5, 3, 3},{2161, 22411, 2161}
2,5,{5, 4, 1},{676, 8526, 676}
2,5,{5, 4, 2},{1971, 21071, 1971}
2,5,{5, 4, 3},{4236, 40286, 4236}
2,5,{5, 4, 4},{7921, 69921, 7921}
2,5,{5, 5, 1},{1326, 15326, 1326}
2,5,{5, 5, 2},{3676, 36926, 3676}
2,5,{5, 5, 3},{7551, 68426, 7551}
2,5,{5, 5, 4},{13576, 114826, 13576}
2,5,{5, 5, 5},{22501, 182501, 22501}
2,5,{6, 1, 1},{85, 1885, 85}
2,5,{6, 2, 1},{275, 4635, 275}
2,5,{6, 2, 2},{836, 11346, 836}
2,5,{6, 3, 1},{646, 8896, 646}
2,5,{6, 3, 2},{1864, 21574, 1864}
2,5,{6, 3, 3},{3970, 40420, 3970}
2,5,{6, 4, 1},{1303, 15643, 1303}
2,5,{6, 4, 2},{3599, 37419, 3599}
2,5,{6, 4, 3},{7369, 68809, 7369}
2,5,{6, 4, 4},{13213, 114613, 13213}
2,5,{6, 5, 1},{2381, 26181, 2381}
2,5,{6, 5, 2},{6341, 61641, 6341}
2,5,{6, 5, 3},{12556, 111106, 12556}
2,5,{6, 5, 4},{21851, 180951, 21851}
2,5,{6, 5, 5},{35201, 279201, 35201}
2,5,{6, 6, 1},{4045, 42145, 4045}
2,5,{6, 6, 2},{10450, 97660, 10450}
2,5,{6, 6, 3},{20116, 172666, 20116}
2,5,{6, 6, 4},{34123, 275263, 34123}
2,5,{6, 6, 5},{53731, 415531, 53731}
2,5,{6, 6, 6},{80380, 605530, 80380}
2,5,{7, 1, 1},{190, 3725, 190}
2,5,{7, 2, 1},{561, 8821, 561}
2,5,{7, 2, 2},{1590, 20840, 1590}
2,5,{7, 3, 1},{1219, 16129, 1219}
2,5,{7, 3, 2},{3333, 37913, 3333}
2,5,{7, 3, 3},{6763, 68398, 6763}
2,5,{7, 4, 1},{2304, 26874, 2304}
2,5,{7, 4, 2},{6105, 62665, 6105}
2,5,{7, 4, 3},{12034, 111784, 12034}
2,5,{7, 4, 4},{20861, 180181, 20861}
2,5,{7, 5, 1},{3991, 42666, 3991}
2,5,{7, 5, 2},{10291, 98491, 10291}
2,5,{7, 5, 3},{19776, 173426, 19776}
2,5,{7, 5, 4},{33496, 275346, 33496}
2,5,{7, 5, 5},{52676, 414051, 52676}
2,5,{7, 6, 1},{6490, 65500, 6490}
2,5,{7, 6, 2},{16346, 149556, 16346}
2,5,{7, 6, 3},{30724, 259834, 30724}
2,5,{7, 6, 4},{50989, 406309, 50989}
2,5,{7, 6, 5},{78716, 601266, 78716}
2,5,{7, 6, 6},{115690, 859300, 115690}
2,5,{7, 7, 1},{10046, 97756, 10046}
2,5,{7, 7, 2},{24795, 220795, 24795}
2,5,{7, 7, 3},{45718, 378673, 45718}
2,5,{7, 7, 4},{74530, 583640, 74530}
2,5,{7, 7, 5},{113191, 850641, 113191}
2,5,{7, 7, 6},{163906, 1197316, 163906}
2,5,{7, 7, 7},{229125, 1644000, 229125}
2,5,{8, 1, 1},{371, 6671, 371}
2,5,{8, 2, 1},{1029, 15389, 1029}
2,5,{8, 2, 2},{2773, 35453, 2773}
2,5,{8, 3, 1},{2115, 27215, 2115}
2,5,{8, 3, 2},{5553, 62513, 5553}
2,5,{8, 3, 3},{10855, 109675, 10855}
2,5,{8, 4, 1},{3809, 43649, 3809}
2,5,{8, 4, 2},{9769, 99769, 9769}
2,5,{8, 4, 3},{18681, 173801, 18681}
2,5,{8, 4, 4},{31505, 272945, 31505}
2,5,{8, 5, 1},{6331, 66631, 6331}
2,5,{8, 5, 2},{15901, 151301, 15901}
2,5,{8, 5, 3},{29811, 261311, 29811}
2,5,{8, 5, 4},{49361, 406161, 49361}
2,5,{8, 5, 5},{76051, 597551, 76051}
2,5,{8, 6, 1},{9941, 98541, 9941}
2,5,{8, 6, 2},{24509, 222069, 24509}
2,5,{8, 6, 3},{45145, 379945, 45145}
2,5,{8, 6, 4},{73529, 584169, 73529}
2,5,{8, 6, 5},{111581, 849381, 111581}
2,5,{8, 6, 6},{161461, 1192861, 161461}
2,5,{8, 7, 1},{14939, 142199, 14939}
